model_id_1,model_id_2,queries,official_internal_bv,candidate_internal_bv,official_root_bv,candidate_primitive_root_bv,official_total_rss,candidate_total_rss,official_triangles,candidate_triangles,distance_filter_skips,containment_filter_checks,containment_filter_skips,axis_filter_checks,axis_filter_skips,official_fp,official_fn,candidate_fp,candidate_fn
14,18,4621,0,0,4621,295744,4621,295744,0,0,0,0,0,0,0,0,0,0,0
14,19,4621,0,0,4621,295744,4621,295744,0,0,0,0,0,0,0,0,0,0,0
14,20,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
14,21,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
14,26,1317,0,0,1317,10536,1317,10536,0,0,0,0,0,0,0,0,0,0,0
14,37,4114,0,0,4114,32912,4114,32912,0,0,0,0,0,0,0,0,0,0,0
15,2,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
15,3,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
15,4,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
15,5,4640,0,24796,4640,270230,4640,295026,0,1781,0,0,0,0,0,0,0,495,0
15,17,4621,0,0,4621,295744,4621,295744,0,0,0,0,0,0,0,0,0,0,0
15,18,4621,0,0,4621,295744,4621,295744,0,0,0,0,0,0,0,0,0,0,0
15,19,4621,0,0,4621,295744,4621,295744,0,0,0,0,0,0,0,0,0,0,0
15,21,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
15,26,1317,0,0,1317,10536,1317,10536,0,0,0,0,0,0,0,0,0,0,0
15,37,4114,0,0,4114,32912,4114,32912,0,0,0,0,0,0,0,0,0,0,0
16,2,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
16,4,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
16,5,4640,11144,141080,4640,118922,15784,260002,0,17604,0,0,0,0,0,0,0,3034,0
16,17,4621,0,0,4621,295744,4621,295744,0,0,0,0,0,0,0,0,0,0,0
16,18,4621,0,0,4621,295744,4621,295744,0,0,0,0,0,0,0,0,0,0,0
16,19,4621,0,0,4621,295744,4621,295744,0,0,0,0,0,0,0,0,0,0,0
16,26,1317,0,0,1317,10536,1317,10536,0,0,0,0,0,0,0,0,0,0,0
16,37,4114,0,0,4114,32912,4114,32912,0,0,0,0,0,0,0,0,0,0,0
18,2,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
18,3,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
18,4,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
18,5,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
18,21,4206,62438,0,4206,33648,66644,33648,0,0,0,0,0,0,0,0,0,0,0
19,2,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
19,3,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
19,4,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
19,5,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
19,17,4206,8412,0,4206,269184,12618,269184,0,0,0,0,0,0,0,0,0,0,0
19,21,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
20,17,4621,0,0,4621,295744,4621,295744,0,0,0,0,0,0,0,0,0,0,0
20,18,4621,0,0,4621,295744,4621,295744,0,0,0,0,0,0,0,0,0,0,0
20,19,4621,0,0,4621,295744,4621,295744,0,0,0,0,0,0,0,0,0,0,0
20,26,1317,0,0,1317,10536,1317,10536,0,0,0,0,0,0,0,0,0,0,0
20,37,2889,0,0,2889,23112,2889,23112,0,0,0,0,0,0,0,0,0,0,0
26,2,1317,0,0,1317,10536,1317,10536,0,0,0,0,0,0,0,0,0,0,0
26,3,1317,0,0,1317,10536,1317,10536,0,0,0,0,0,0,0,0,0,0,0
26,4,1317,0,0,1317,10536,1317,10536,0,0,0,0,0,0,0,0,0,0,0
