model_id_1,model_id_2,queries,official_internal_bv,candidate_internal_bv,official_root_bv,candidate_primitive_root_bv,official_total_rss,candidate_total_rss,official_triangles,candidate_triangles,distance_filter_skips,containment_filter_checks,containment_filter_skips,axis_filter_checks,axis_filter_skips,official_fp,official_fn,candidate_fp,candidate_fn
13,26,1317,0,0,1317,1317,1317,1317,0,0,9219,1317,0,9853,9219,0,0,0,0
13,37,4114,0,0,4114,4114,4114,4114,0,0,28798,4114,0,38588,28798,0,0,0,0
14,2,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,292881,292320,0,0,0,0
14,3,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,292320,292320,0,0,0,0
14,4,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,296277,292320,0,0,0,0
14,5,4640,0,616,4640,4940,4640,5556,0,0,292682,6813,0,308659,292682,0,0,0,0
14,16,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,264978,264978,0,0,0,0
14,17,4621,0,0,4621,4621,4621,4621,0,0,291123,4621,0,311091,291123,0,0,0,0
14,18,4621,0,0,4621,5330,4621,5330,0,0,290414,5330,0,333728,290414,0,0,0,0
14,19,4621,0,0,4621,4621,4621,4621,0,0,291123,4621,0,331154,291123,0,0,0,0
14,20,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,264978,264978,0,0,0,0
14,21,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29442,29442,0,0,0,0
14,26,1317,0,0,1317,1317,1317,1317,0,0,9219,1317,0,9219,9219,0,0,0,0
14,37,4114,0,0,4114,4114,4114,4114,0,0,28798,4114,0,29074,28798,0,0,0,0
15,2,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,292347,292320,0,0,0,0
15,3,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,316300,292320,0,0,0,0
15,4,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,293161,292320,0,0,0,0
15,5,4640,0,16572,4640,8738,4640,25310,0,1781,269716,195629,0,531057,269716,0,0,495,0
15,17,4621,0,0,4621,4621,4621,4621,0,0,291123,4621,0,295126,291123,0,0,0,0
15,18,4621,0,0,4621,4621,4621,4621,0,0,291123,4621,0,320203,291123,0,0,0,0
15,19,4621,0,0,4621,4621,4621,4621,0,0,291123,4621,0,291737,291123,0,0,0,0
15,21,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29442,29442,0,0,0,0
15,26,1317,0,0,1317,1317,1317,1317,0,0,9219,1317,0,9219,9219,0,0,0,0
15,37,4114,0,0,4114,4114,4114,4114,0,0,28798,4114,0,28798,28798,0,0,0,0
16,2,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,292320,292320,0,0,0,0
16,4,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,296692,292320,0,0,0,0
16,5,4640,11144,104567,4640,16367,15784,120934,0,17604,139068,1616551,0,1644699,139068,0,0,3034,0
16,17,4621,0,0,4621,4621,4621,4621,0,0,291123,4621,0,291197,291123,0,0,0,0
16,18,4621,0,0,4621,4621,4621,4621,0,0,291123,4621,0,297244,291123,0,0,0,0
16,19,4621,0,0,4621,4621,4621,4621,0,0,291123,4621,0,291123,291123,0,0,0,0
16,26,1317,0,0,1317,1317,1317,1317,0,0,9219,1317,0,9219,9219,0,0,0,0
16,37,4114,0,0,4114,4114,4114,4114,0,0,28798,4114,0,28798,28798,0,0,0,0
18,2,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,264978,264978,0,0,0,0
18,3,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,264978,264978,0,0,0,0
